Date,Open,High,Low,Close*,Adj Close**,Volume,,
12/31/13,"3,566.50","3,594.75","3,565.00","3,583.75","3,583.75","71,635",,
12/30/13,"3,569.75","3,573.50","3,556.00","3,565.75","3,565.75","90,196",,
12/27/13,"3,582.75","3,587.50","3,567.00","3,570.25","3,570.25","94,798",,
12/26/13,"3,572.75","3,583.75","3,568.25","3,581.75","3,581.75","54,009",,
12/24/13,"3,565.25","3,572.75","3,561.00","3,569.75","3,569.75","47,467",,
12/23/13,"3,541.00","3,567.50","3,541.00","3,564.75","3,564.75","131,151",,
12/20/13,"3,500.00","3,508.00","3,496.00","3,503.00","3,503.00","173,625",,
12/19/13,"3,513.50","3,516.75","3,482.50","3,497.00","3,497.00","56,687",,
12/18/13,"3,464.75","3,513.50","3,422.00","3,512.75","3,512.75","66,667",,
12/17/13,"3,470.75","3,483.25","3,460.75","3,465.25","3,465.25","87,634",,
12/16/13,"3,457.00","3,495.25","3,434.50","3,474.50","3,474.50","130,785",,
12/13/13,"3,457.00","3,478.25","3,449.75","3,457.50","3,457.50","152,854",,
12/12/13,"3,471.25","3,479.50","3,455.50","3,459.50","3,459.50","300,255",,
12/11/13,"3,517.50","3,522.25","3,464.50","3,470.50","3,470.50","302,895",,
12/10/13,"3,519.25","3,524.25","3,507.75","3,516.00","3,516.00","181,862",,
12/09/13,"3,505.00","3,524.75","3,505.00","3,518.50","3,518.50","190,605",,
12/06/13,"3,478.00","3,511.00","3,477.00","3,504.00","3,504.00","254,913",,
12/05/13,"3,482.50","3,492.00","3,468.75","3,478.75","3,478.75","250,042",,
12/04/13,"3,476.25","3,494.00","3,453.25","3,482.50","3,482.50","281,577",,
12/03/13,"3,483.75","3,488.75","3,466.25","3,475.75","3,475.75","224,700",,
12/02/13,"3,493.00","3,501.25","3,476.75","3,483.00","3,483.00","231,123",,
11/29/13,"3,469.00","3,496.50","3,468.75","3,487.50","3,487.50","97,742",,
11/27/13,"3,447.00","3,472.25","3,445.75","3,468.50","3,468.50","146,375",,
11/26/13,"3,426.75","3,456.00","3,422.75","3,447.25","3,447.25","188,922",,
11/25/13,"3,422.50","3,437.25","3,420.25","3,429.00","3,429.00","177,967",,
11/22/13,"3,400.75","3,422.50","3,400.00","3,420.00","3,420.00","163,835",,
11/21/13,"3,367.75","3,406.00","3,360.25","3,400.50","3,400.50","204,624",,
11/20/13,"3,375.75","3,398.50","3,358.50","3,366.50","3,366.50","290,183",,
11/19/13,"3,387.75","3,400.50","3,370.75","3,375.50","3,375.50","258,679",,
11/18/13,"3,416.50","3,425.75","3,380.25","3,384.00","3,384.00","223,476",,
11/15/13,"3,412.25","3,421.25","3,405.25","3,416.50","3,416.50","156,493",,
11/14/13,"3,392.50","3,415.75","3,386.75","3,410.50","3,410.50","225,748",,
11/13/13,"3,363.50","3,406.75","3,338.25","3,402.00","3,402.00","269,387",,
11/12/13,"3,354.75","3,366.75","3,343.75","3,364.50","3,364.50","196,199",,
11/11/13,"3,361.50","3,365.50","3,345.50","3,354.25","3,354.25","164,939",,
11/08/13,"3,321.75","3,363.00","3,310.00","3,360.50","3,360.50","289,374",,
11/07/13,"3,374.00","3,387.00","3,314.25","3,319.50","3,319.50","404,482",,
11/06/13,"3,380.00","3,398.00","3,370.25","3,376.00","3,376.00","218,082",,
11/05/13,"3,378.00","3,390.50","3,355.75","3,379.75","3,379.75","224,570",,
11/04/13,"3,368.00","3,387.25","3,366.75","3,377.50","3,377.50","142,512",,
10/31/13,"3,377.25","3,388.50","3,357.50","3,368.00","3,368.00","230,311",,
10/30/13,"3,380.00","3,394.00","3,360.75","3,369.00","3,369.00","252,511",,
10/29/13,"3,390.25","3,401.75","3,364.25","3,392.25","3,392.25","287,566",,
10/28/13,"3,377.75","3,392.25","3,368.50","3,384.00","3,384.00","208,676",,
10/27/13,"3,374.25","3,391.00","3,360.75","3,383.25","3,383.25","196,908",,
10/24/13,"3,376.75","3,392.75","3,361.25","3,373.75","3,373.75","223,017",,
10/23/13,"3,342.25","3,379.75","3,335.50","3,371.00","3,371.00","191,455",,
10/22/13,"3,356.00","3,357.25","3,322.25","3,340.00","3,340.00","244,371",,
10/21/13,"3,353.00","3,377.25","3,338.00","3,356.50","3,356.50","330,951",,
10/20/13,"3,344.75","3,362.25","3,342.50","3,354.00","3,354.00","175,096",,
10/17/13,"3,307.50","3,348.00","3,306.75","3,342.00","3,342.00","235,866",,
10/16/13,"3,260.25","3,310.50","3,255.25","3,301.00","3,301.00","209,745",,
10/15/13,"3,240.50","3,276.50","3,234.75","3,264.00","3,264.00","228,467",,
10/14/13,"3,253.50","3,263.50","3,234.00","3,240.75","3,240.75","329,005",,
10/13/13,"3,205.00","3,255.00","3,195.00","3,248.25","3,248.25","233,830",,
10/10/13,"3,193.50","3,230.50","3,175.75","3,225.50","3,225.50","230,009",,
10/09/13,"3,132.75","3,209.50","3,132.75","3,193.50","3,193.50","342,187",,
10/08/13,"3,146.25","3,164.00","3,110.75","3,132.50","3,132.50","441,570",,
10/07/13,"3,206.50","3,214.50","3,144.25","3,150.75","3,150.75","418,005",,
10/06/13,"3,224.00","3,232.75","3,201.75","3,205.00","3,205.00","239,190",,
10/03/13,"3,201.25","3,239.50","3,199.50","3,234.50","3,234.50","201,543",,
10/02/13,"3,239.75","3,248.00","3,189.25","3,202.25","3,202.25","361,785",,
10/01/13,"3,251.00","3,251.00","3,221.00","3,237.50","3,237.50","241,342",,
09/30/13,"3,221.25","3,251.25","3,213.00","3,245.50","3,245.50","250,343",,
09/29/13,"3,211.50","3,223.25","3,178.25","3,209.00","3,209.00","281,669",,
09/26/13,"3,229.75","3,233.50","3,203.00","3,223.00","3,223.00","193,112",,
09/25/13,"3,202.50","3,235.25","3,202.25","3,226.00","3,226.00","208,824",,
09/24/13,"3,215.25","3,220.50","3,195.75","3,200.00","3,200.00","250,162",,
09/23/13,"3,211.00","3,230.75","3,202.75","3,213.25","3,213.25","178,347",,
09/22/13,"3,222.75","3,237.00","3,198.00","3,209.00","3,209.00","237,538",,
09/19/13,"3,239.50","3,251.50","3,234.00","3,248.00","3,248.00","208,460",,
09/18/13,"3,232.00","3,245.00","3,232.00","3,239.25","3,239.25","46,234",,
09/17/13,"3,192.75","3,236.25","3,189.75","3,228.75","3,228.75","56,730",,
09/16/13,"3,168.75","3,196.00","3,163.00","3,190.75","3,190.75","92,803",,
09/15/13,"3,196.25","3,219.25","3,163.00","3,167.75","3,167.75","128,600",,
09/12/13,"3,177.25","3,182.50","3,161.75","3,177.75","3,177.75","122,090",,
09/11/13,"3,184.25","3,186.75","3,170.25","3,176.00","3,176.00","227,594",,
09/10/13,"3,184.25","3,188.75","3,160.00","3,178.50","3,178.50","220,768",,
09/09/13,"3,171.50","3,189.25","3,167.25","3,182.75","3,182.75","230,771",,
09/08/13,"3,132.75","3,175.25","3,130.50","3,165.00","3,165.00","196,240",,
09/05/13,"3,128.50","3,150.25","3,096.50","3,129.50","3,129.50","281,130",,
09/04/13,"3,131.50","3,137.75","3,124.00","3,128.00","3,128.00","152,933",,
09/03/13,"3,087.75","3,132.00","3,083.25","3,128.25","3,128.25","216,735",,
09/02/13,"3,088.75","3,113.25","3,076.00","3,086.50","3,086.50","314,381",,
08/29/13,"3,093.50","3,103.50","3,062.00","3,073.50","3,073.50","253,781",,
08/28/13,"3,068.25","3,109.00","3,064.00","3,089.50","3,089.50","246,337",,
08/27/13,"3,061.50","3,084.75","3,056.00","3,068.25","3,068.25","188,487",,
08/26/13,"3,123.50","3,124.75","3,052.50","3,059.50","3,059.50","360,118",,
08/25/13,"3,120.25","3,147.25","3,117.25","3,121.00","3,121.00","189,292",,
08/22/13,"3,103.50","3,127.00","3,096.50","3,121.25","3,121.25","194,415",,
08/21/13,"3,060.75","3,107.00","3,055.50","3,101.75","3,101.75","190,514",,
08/20/13,"3,081.75","3,098.75","3,059.25","3,062.50","3,062.50","295,659",,
08/19/13,"3,071.25","3,097.00","3,063.50","3,081.00","3,081.00","164,001",,
08/18/13,"3,068.50","3,100.50","3,060.25","3,070.50","3,070.50","210,781",,
08/15/13,"3,071.75","3,090.00","3,068.25","3,069.75","3,069.75","189,035",,
08/14/13,"3,113.00","3,114.75","3,066.50","3,071.00","3,071.00","307,034",,
08/13/13,"3,138.75","3,143.75","3,114.25","3,123.25","3,123.25","234,087",,
08/12/13,"3,126.00","3,148.00","3,104.75","3,137.00","3,137.00","239,126",,
08/11/13,"3,113.50","3,129.50","3,094.25","3,124.00","3,124.00","171,281",,
08/08/13,"3,129.25","3,134.75","3,107.00","3,113.25","3,113.25","199,820",,
08/07/13,"3,117.25","3,136.50","3,108.50","3,127.00","3,127.00","215,700",,
08/06/13,"3,117.75","3,119.50","3,090.75","3,116.00","3,116.00","228,788",,
08/05/13,"3,136.00","3,139.50","3,106.25","3,118.00","3,118.00","170,125",,
08/04/13,"3,136.25","3,140.25","3,128.00","3,136.00","3,136.00","114,587",,
08/01/13,"3,118.25","3,138.00","3,112.25","3,136.00","3,136.00","162,654",,
07/31/13,"3,088.75","3,123.50","3,088.75","3,112.75","3,112.75","153,830",,
07/30/13,"3,082.50","3,105.00","3,079.25","3,083.00","3,083.00","254,202",,
07/29/13,"3,066.00","3,094.75","3,065.50","3,085.50","3,085.50","237,285",,
07/28/13,"3,070.00","3,078.50","3,056.75","3,065.50","3,065.50","189,954",,
07/25/13,"3,053.00","3,073.50","3,037.50","3,070.50","3,070.50","183,575",,
07/24/13,"3,052.50","3,058.25","3,027.50","3,050.00","3,050.00","214,945",,
07/23/13,"3,038.00","3,057.25","3,028.75","3,048.00","3,048.00","314,733",,
07/22/13,"3,049.25","3,060.00","3,023.50","3,026.00","3,026.00","161,677",,
07/21/13,"3,043.75","3,055.25","3,038.50","3,047.50","3,047.50","140,933",,
07/18/13,"3,049.00","3,049.00","3,030.50","3,040.75","3,040.75","203,203",,
07/17/13,"3,075.25","3,087.00","3,046.00","3,047.50","3,047.50","179,562",,
07/16/13,"3,073.25","3,086.50","3,065.50","3,079.25","3,079.25","186,222",,
07/15/13,"3,074.00","3,080.25","3,063.75","3,070.75","3,070.75","147,259",,
07/14/13,"3,062.75","3,076.50","3,062.75","3,073.00","3,073.00","112,409",,
07/11/13,"3,053.00","3,070.50","3,049.25","3,062.00","3,062.00","148,453",,
07/10/13,"3,011.50","3,058.00","3,011.50","3,055.00","3,055.00","200,923",,
07/09/13,"2,977.25","3,014.00","2,969.00","2,996.25","2,996.25","198,676",,
07/08/13,"2,961.00","2,985.00","2,959.00","2,974.25","2,974.25","162,518",,
07/07/13,"2,961.50","2,978.25","2,948.75","2,958.75","2,958.75","200,400",,
07/04/13,"2,937.75","2,971.25","2,927.75","2,956.50","2,956.50","228,913",,
07/03/13,"2,923.25","2,949.00","2,897.00","2,936.50","2,936.50","152,053",,
07/01/13,"2,919.25","2,941.25","2,907.25","2,923.25","2,923.25","202,883",,
06/30/13,"2,902.75","2,946.75","2,894.25","2,917.00","2,917.00","200,624",,
06/27/13,"2,899.00","2,922.00","2,884.25","2,901.25","2,901.25","239,222",,
06/26/13,"2,885.75","2,918.25","2,882.25","2,899.50","2,899.50","173,476",,
06/25/13,"2,857.00","2,892.75","2,845.75","2,883.00","2,883.00","196,345",,
06/24/13,"2,846.25","2,873.75","2,830.75","2,858.25","2,858.25","257,859",,
06/23/13,"2,866.50","2,870.75","2,817.75","2,844.00","2,844.00","358,805",,
06/20/13,"2,888.00","2,907.50","2,882.25","2,895.50","2,895.50","399,203",,
06/19/13,"2,960.75","2,962.25","2,882.25","2,886.50","2,886.50","81,024",,
06/18/13,"2,996.75","3,003.50","2,958.25","2,961.50","2,961.50","65,002",,
06/17/13,"2,972.50","3,002.50","2,971.00","2,993.50","2,993.50","96,353",,
06/16/13,"2,936.50","2,989.75","2,936.50","2,970.00","2,970.00","113,841",,
06/13/13,"2,966.25","2,968.50","2,938.75","2,942.00","2,942.00","119,403",,
06/12/13,"2,922.75","2,969.50","2,897.75","2,962.25","2,962.25","284,586",,
06/11/13,"2,965.50","2,979.50","2,919.50","2,920.25","2,920.25","328,526",,
06/10/13,"2,987.75","2,989.00","2,949.50","2,963.50","2,963.50","312,061",,
06/09/13,"2,981.00","3,004.00","2,976.25","2,987.00","2,987.00","242,507",,
06/06/13,"2,948.25","2,992.00","2,940.00","2,980.50","2,980.50","266,604",,
06/05/13,"2,939.25","2,954.00","2,910.50","2,949.50","2,949.50","280,562",,
06/04/13,"2,970.75","2,977.75","2,932.00","2,938.50","2,938.50","302,592",,
06/03/13,"2,986.50","3,007.00","2,961.00","2,974.75","2,974.75","283,605",,
06/02/13,"2,981.00","2,995.00","2,950.00","2,985.50","2,985.50","322,752",,
05/30/13,"3,011.00","3,022.75","2,976.25","2,980.25","2,980.25","273,254",,
05/29/13,"2,995.00","3,025.50","2,981.75","3,010.00","3,010.00","215,945",,
05/28/13,"3,004.75","3,008.75","2,978.25","2,995.50","2,995.50","242,455",,
05/27/13,"2,991.25","3,036.75","2,985.00","3,003.50","3,003.50","238,818",,
05/23/13,"2,995.75","3,003.00","2,963.50","2,992.25","2,992.25","203,972",,
05/22/13,"3,006.25","3,008.50","2,961.25","2,992.25","2,992.25","313,279",,
05/21/13,"3,021.75","3,053.50","2,983.75","3,001.00","3,001.00","363,785",,
05/20/13,"3,019.50","3,036.75","3,010.00","3,021.50","3,021.50","185,202",,
05/19/13,"3,021.25","3,032.00","3,010.00","3,021.00","3,021.00","193,256",,
05/16/13,"3,001.00","3,028.25","2,998.00","3,022.75","3,022.75","188,115",,
05/15/13,"3,004.25","3,019.00","2,996.00","2,998.25","2,998.25","203,738",,
05/14/13,"2,995.75","3,007.50","2,982.50","3,001.00","3,001.00","206,061",,
05/13/13,"2,981.25","3,005.00","2,971.25","2,995.25","2,995.25","192,387",,
05/12/13,"2,972.25","2,987.50","2,960.50","2,981.00","2,981.00","162,112",,
05/09/13,"2,961.25","2,978.75","2,958.75","2,975.50","2,975.50","169,255",,
05/08/13,"2,961.00","2,978.25","2,950.00","2,958.00","2,958.00","185,018",,
05/07/13,"2,946.75","2,965.00","2,941.75","2,961.75","2,961.75","144,664",,
05/06/13,"2,947.50","2,956.75","2,937.25","2,946.50","2,946.50","176,584",,
05/05/13,"2,936.75","2,954.00","2,936.50","2,947.50","2,947.50","134,824",,
05/02/13,"2,902.00","2,947.75","2,900.25","2,935.00","2,935.00","193,083",,
05/01/13,"2,868.00","2,910.50","2,867.25","2,902.00","2,902.00","199,370",,
04/30/13,"2,884.00","2,887.00","2,862.25","2,863.50","2,863.50","154,074",,
04/29/13,"2,859.75","2,884.25","2,853.25","2,880.00","2,880.00","190,418",,
04/28/13,"2,833.75","2,871.75","2,827.50","2,858.75","2,858.75","175,223",,
04/25/13,"2,841.00","2,844.75","2,822.25","2,830.50","2,830.50","165,108",,
04/24/13,"2,821.75","2,854.50","2,814.00","2,844.00","2,844.00","196,635",,
04/23/13,"2,829.50","2,838.25","2,816.00","2,824.00","2,824.00","257,076",,
04/22/13,"2,800.75","2,843.50","2,785.00","2,823.00","2,823.00","269,327",,
04/21/13,"2,772.50","2,812.50","2,770.75","2,797.25","2,797.25","230,393",,
04/18/13,"2,746.25","2,779.50","2,736.75","2,768.25","2,768.25","273,830",,
04/17/13,"2,770.50","2,788.00","2,724.00","2,739.50","2,739.50","345,298",,
04/16/13,"2,830.50","2,830.50","2,758.25","2,774.50","2,774.50","378,577",,
04/15/13,"2,786.00","2,834.25","2,785.25","2,828.00","2,828.00","236,656",,
04/14/13,"2,846.50","2,851.00","2,771.25","2,783.50","2,783.50","326,433",,
04/11/13,"2,853.75","2,856.25","2,828.25","2,846.25","2,846.25","198,997",,
04/10/13,"2,852.00","2,858.50","2,843.25","2,853.25","2,853.25","199,356",,
04/09/13,"2,799.00","2,857.50","2,794.75","2,853.25","2,853.25","259,070",,
04/08/13,"2,784.75","2,809.75","2,773.00","2,797.50","2,797.50","237,574",,
04/07/13,"2,763.25","2,788.25","2,757.00","2,781.00","2,781.00","176,139",,
04/04/13,"2,785.00","2,785.50","2,737.50","2,763.00","2,763.00","265,278",,
04/03/13,"2,788.00","2,801.50","2,772.50","2,785.00","2,785.00","226,614",,
04/02/13,"2,814.25","2,819.25","2,780.25","2,787.00","2,787.00","256,746",,
04/01/13,"2,789.75","2,823.00","2,786.25","2,812.75","2,812.75","214,259",,
03/31/13,"2,811.00","2,815.75","2,784.25","2,788.00","2,788.00","145,803",,
03/28/13,-,-,-,-,-,-,,
03/27/13,"2,801.25","2,814.75","2,791.50","2,811.00","2,811.00","145,542",,
03/26/13,"2,802.25","2,806.00","2,776.50","2,801.00","2,801.00","185,710",,
03/25/13,"2,788.25","2,803.75","2,784.50","2,799.75","2,799.75","168,868",,
03/24/13,"2,793.50","2,811.50","2,771.00","2,784.25","2,784.25","249,371",,
03/21/13,"2,769.25","2,799.50","2,763.25","2,793.50","2,793.50","180,406",,
03/20/13,"2,788.25","2,788.25","2,761.25","2,769.75","2,769.75","221,279",,
03/19/13,"2,776.75","2,806.50","2,771.75","2,785.25","2,785.25","213,748",,
03/18/13,"2,787.25","2,800.00","2,755.25","2,779.50","2,779.50","280,858",,
03/17/13,"2,774.00","2,797.25","2,748.25","2,787.00","2,787.00","261,520",,
03/14/13,"2,805.00","2,811.50","2,804.50","2,807.00","2,807.00","151,634",,
03/13/13,"2,800.25","2,813.25","2,797.50","2,806.00","2,806.00","36,307",,
03/12/13,"2,803.00","2,808.50","2,787.75","2,799.00","2,799.00","78,283",,
03/11/13,"2,809.75","2,811.25","2,787.75","2,803.00","2,803.00","90,209",,
03/10/13,"2,801.50","2,812.25","2,791.25","2,809.75","2,809.75","120,851",,
03/08/13,"2,798.50","2,827.75","2,792.50","2,801.50","2,801.50","147,817",,
03/07/13,"2,790.50","2,804.50","2,788.50","2,799.25","2,799.25","194,930",,
03/06/13,"2,800.75","2,809.25","2,788.25","2,788.25","2,788.25","224,481",,
03/05/13,"2,762.50","2,803.75","2,761.00","2,798.25","2,798.25","249,527",,
03/04/13,"2,745.50","2,763.75","2,732.75","2,760.00","2,760.00","243,022",,
03/01/13,"2,738.00","2,751.50","2,711.75","2,748.75","2,748.75","278,656",,
02/28/13,"2,741.00","2,761.50","2,732.50","2,738.00","2,738.00","248,960",,
02/27/13,"2,711.00","2,757.75","2,703.25","2,740.50","2,740.50","281,226",,
02/26/13,"2,702.25","2,718.25","2,689.00","2,707.75","2,707.75","321,127",,
02/25/13,"2,736.75","2,764.50","2,691.75","2,702.25","2,702.25","383,420",,
02/22/13,"2,716.00","2,739.00","2,714.25","2,735.75","2,735.75","187,525",,
02/21/13,"2,736.00","2,741.00","2,699.50","2,714.00","2,714.00","283,845",,
02/20/13,"2,784.50","2,786.50","2,725.00","2,737.50","2,737.50","230,436",,
02/19/13,"2,759.75","2,786.00","2,758.25","2,780.75","2,780.75","163,031",,
02/15/13,"2,769.25","2,776.75","2,754.25","2,761.25","2,761.25","169,760",,
02/14/13,"2,766.75","2,775.00","2,756.00","2,767.25","2,767.25","154,958",,
02/13/13,"2,765.25","2,781.75","2,762.75","2,770.25","2,770.25","164,467",,
02/12/13,"2,770.75","2,774.50","2,758.75","2,760.75","2,760.75","171,647",,
02/11/13,"2,771.25","2,780.75","2,763.50","2,770.50","2,770.50","146,485",,
02/08/13,"2,742.00","2,778.50","2,741.00","2,772.00","2,772.00","211,104",,
02/07/13,"2,739.50","2,748.75","2,712.75","2,742.00","2,742.00","273,081",,
02/06/13,"2,753.50","2,757.00","2,733.00","2,737.25","2,737.25","217,756",,
02/05/13,"2,710.00","2,759.25","2,709.25","2,749.25","2,749.25","243,055",,
02/04/13,"2,759.25","2,759.25","2,709.00","2,711.50","2,711.50","275,933",,
02/01/13,"2,733.00","2,764.00","2,730.50","2,756.50","2,756.50","222,751",,
01/31/13,"2,734.00","2,746.25","2,723.75","2,725.00","2,725.00","216,929",,
01/30/13,"2,745.50","2,751.75","2,726.25","2,735.75","2,735.75","252,062",,
01/29/13,"2,734.75","2,747.00","2,716.25","2,742.75","2,742.75","221,674",,
01/28/13,"2,729.50","2,747.50","2,726.25","2,737.50","2,737.50","202,433",,
01/25/13,"2,714.25","2,739.50","2,711.75","2,728.00","2,728.00","234,408",,
01/24/13,"2,716.25","2,743.00","2,707.75","2,718.25","2,718.25","289,636",,
01/23/13,"2,756.50","2,768.75","2,728.50","2,759.00","2,759.00","189,334",,
01/22/13,"2,734.25","2,758.00","2,720.75","2,751.00","2,751.00","195,839",,
01/18/13,"2,735.50","2,741.75","2,722.50","2,733.75","2,733.75","171,009",,
01/17/13,"2,726.25","2,752.00","2,716.50","2,740.50","2,740.50","211,220",,
01/16/13,"2,720.75","2,737.50","2,710.50","2,726.00","2,726.00","181,659",,
01/15/13,"2,731.00","2,732.25","2,705.25","2,714.25","2,714.25","210,640",,
01/14/13,"2,744.00","2,750.25","2,719.25","2,728.75","2,728.75","207,499",,
01/11/13,"2,742.50","2,744.50","2,732.25","2,743.75","2,743.75","140,405",,
01/10/13,"2,722.50","2,743.50","2,713.75","2,737.00","2,737.00","244,792",,
01/09/13,"2,715.00","2,730.25","2,711.25","2,722.00","2,722.00","159,091",,
01/08/13,"2,718.75","2,724.75","2,698.50","2,714.00","2,714.00","200,787",,
01/07/13,"2,716.25","2,722.75","2,702.50","2,717.75","2,717.75","174,832",,
01/04/13,"2,726.50","2,736.00","2,711.25","2,713.00","2,713.00","212,859",,
